Province/State	Country/Region	Lat	Long	Date	Confirmed	Death	Recovered	Location	Active	Fatality Rate	New Confirmed	New Death	New Recovered
0	Afghanistan	33	65	2020-01-30	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-29	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-28	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-27	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-26	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-25	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-24	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-23	0	0	0	Afghanistan	0	0.0	0	0	0
0	Afghanistan	33	65	2020-01-22	0	0	0	Afghanistan	0	0.0	0	0	0
0	Albania	41	20	2020-04-08	400	22	154	Albania	224	5.5	17	0	23
0	Albania	41	20	2020-04-07	383	22	131	Albania	230	5.74	6	1	15
0	Albania	41	20	2020-04-06	377	21	116	Albania	240	5.57	16	1	12
0	Albania	41	20	2020-04-05	361	20	104	Albania	237	5.54	28	0	5
0	Albania	41	20	2020-04-04	333	20	99	Albania	214	6.01	29	3	10
0	Albania	41	20	2020-04-03	304	17	89	Albania	198	5.59	27	1	13
0	Albania	41	20	2020-04-02	277	16	76	Albania	185	5.78	18	1	9
0	Albania	41	20	2020-04-01	259	15	67	Albania	177	5.79	16	0	15
0	Albania	41	20	2020-03-31	243	15	52	Albania	176	6.17	20	4	8
0	Albania	41	20	2020-03-30	223	11	44	Albania	168	4.93	11	1	11
0	Albania	41	20	2020-03-29	212	10	33	Albania	169	4.72	15	0	2
0	Albania	41	20	2020-03-28	197	10	31	Albania	156	5.08	11	2	0
0	Albania	41	20	2020-03-27	186	8	31	Albania	147	4.3	12	2	14
0	Albania	41	20	2020-03-26	174	6	17	Albania	151	3.45	28	1	0
0	Albania	41	20	2020-03-25	146	5	17	Albania	124	3.42	23	0	7
0	Albania	41	20	2020-03-24	123	5	10	Albania	108	4.07	19	1	8
0	Albania	41	20	2020-03-23	104	4	2	Albania	98	3.85	15	2	0
