Country/Region	Lat	Long	Confirmed	Date	Active	Death	Recovered	New Confirmed	New Death	New Recovered	Fatality Rate
Tunisia	34.0	9.0	628	2020-04-08	579	24	25	5	1	0	3.82
Turkey	38.9637	35.2433	38226	2020-04-08	35568	812	1846	4117	87	264	2.12
US	37.0902	-95.7129	429052	2020-04-08	390798	14695	23559	32829	1973	1796	3.42
Uganda	1.0	32.0	53	2020-04-08	53	0	0	1	0	0	0.0
Ukraine	48.3794	31.1656	1668	2020-04-08	1581	52	35	206	7	7	3.12
United Arab Emirates	24.0	54.0	2659	2020-04-08	2408	12	239	300	0	53	0.45
United Kingdom	55.3781	-3.4360000000000004	61474	2020-04-08	54018	7111	345	5525	940	20	11.57
Uruguay	-32.5228	-55.7658	424	2020-04-08	267	7	150	0	0	0	1.65
Uzbekistan	41.3775	64.5853	545	2020-04-08	512	3	30	25	1	0	0.55
Venezuela	6.4238	-66.5897	167	2020-04-08	93	9	65	2	2	0	5.39
Vietnam	16.0	108.0	251	2020-04-08	125	0	126	2	0	3	0.0
West Bank and Gaza	31.9522	35.2332	263	2020-04-08	218	1	44	2	0	2	0.38
Western Sahara	24.2155	-12.8858	4	2020-04-08	4	0	0	0	0	0	0.0
Zambia	-15.4167	28.2833	39	2020-04-08	31	1	7	0	0	0	2.56
Zimbabwe	-20.0	30.0	11	2020-04-08	8	3	0	0	1	0	27.27
